門市ID,門市名稱,電話,地址,Google Maps連結,縣市,區域
759,員林大同,04-833-0268,員林市大同路二段189號,https://maps.google.com.tw/?q=%E5%93%A1%E6%9E%97%E5%B8%82%E5%A4%A7%E5%90%8C%E8%B7%AF%E4%BA%8C%E6%AE%B5189%E8%99%9F,,其他
758,新市民權,,新市區民權路60號,https://maps.google.com.tw/?q=%E6%96%B0%E5%B8%82%E5%8D%80%E6%B0%91%E6%AC%8A%E8%B7%AF60%E8%99%9F,,其他
757,台中美村,04-36054540,南區美村路二段99號,https://maps.google.com.tw/?q=%E5%8D%97%E5%8D%80%E7%BE%8E%E6%9D%91%E8%B7%AF%E4%BA%8C%E6%AE%B599%E8%99%9F,,其他
756,仁德中正,06-279-7685,仁德區中正路二段463號,https://maps.google.com.tw/?q=%E4%BB%81%E5%BE%B7%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%BA%8C%E6%AE%B5463%E8%99%9F,,其他
755,松山民權復興,,松山區民權東路三段106巷1號,https://maps.google.com.tw/?q=%E6%9D%BE%E5%B1%B1%E5%8D%80%E6%B0%91%E6%AC%8A%E6%9D%B1%E8%B7%AF%E4%B8%89%E6%AE%B5106%E5%B7%B71%E8%99%9F,,其他
754,竹北北新,,竹北市北新一街66號(水瀧特區),https://maps.google.com.tw/?q=%E7%AB%B9%E5%8C%97%E5%B8%82%E5%8C%97%E6%96%B0%E4%B8%80%E8%A1%9766%E8%99%9F%28%E6%B0%B4%E7%80%A7%E7%89%B9%E5%8D%80%29,,其他
753,湖口王爺壟,03-590-3385,湖口鄉中正七街107號,https://maps.google.com.tw/?q=%E6%B9%96%E5%8F%A3%E9%84%89%E4%B8%AD%E6%AD%A3%E4%B8%83%E8%A1%97107%E8%99%9F,,其他
752,林口忠孝,02-2608-4567,新北市林口區忠孝路126號,https://maps.google.com.tw/?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%9E%97%E5%8F%A3%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%B7%AF126%E8%99%9F,新北市,北部
750,鶯歌鳳鳴,,新北市鶯歌區鳳鳴路551號,https://maps.google.com.tw/?q=%E6%96%B0%E5%8C%97%E5%B8%82%E9%B6%AF%E6%AD%8C%E5%8D%80%E9%B3%B3%E9%B3%B4%E8%B7%AF551%E8%99%9F,新北市,北部
749,汐止建成,02-2648-0073,汐止區建成路142巷19弄11號,https://maps.google.com.tw/?q=%E6%B1%90%E6%AD%A2%E5%8D%80%E5%BB%BA%E6%88%90%E8%B7%AF142%E5%B7%B719%E5%BC%8411%E8%99%9F,,其他
748,龜山文化東,03-397-5528,桃園市龜山區文化東路2號,https://maps.google.com.tw/?q=%E6%A1%83%E5%9C%92%E5%B8%82%E9%BE%9C%E5%B1%B1%E5%8D%80%E6%96%87%E5%8C%96%E6%9D%B1%E8%B7%AF2%E8%99%9F,桃園市,北部
747,竹北科大,035-583-638,新竹縣竹北市科大一路88號,https://maps.google.com.tw/?q=%E6%96%B0%E7%AB%B9%E7%B8%A3%E7%AB%B9%E5%8C%97%E5%B8%82%E7%A7%91%E5%A4%A7%E4%B8%80%E8%B7%AF88%E8%99%9F,新竹市,北部
746,中壢九和,03-425-5055,桃園市中壢區九和一街59號,https://maps.google.com.tw/?q=%E6%A1%83%E5%9C%92%E5%B8%82%E4%B8%AD%E5%A3%A2%E5%8D%80%E4%B9%9D%E5%92%8C%E4%B8%80%E8%A1%9759%E8%99%9F,桃園市,北部
745,湖口民生,03-599-0311,新竹縣湖口鄉民生街342號,https://maps.google.com.tw/?q=%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E6%B0%91%E7%94%9F%E8%A1%97342%E8%99%9F,新竹市,北部
